Airport,City,IATA,ICAO,Country,Lat,Long,Alt
Inverness,Inverness,INV,EGPE,United Kingdom,57.5425,-4.0475,31
Ioannina,Ioannina,IOA,LGIO,Greece,39.696388,20.8225,1558
Isle Of Man,Isle Of Man,IOM,EGNS,Isle of Man,54.083333,-4.623889,52
Inishmore Airport,Inis Mor,IOR,EIIM,Ireland,53.1067,-9.65361,24
Isparta Süleyman Demirel Airport,Isparta,ISE,LTFC,Turkey,37.8554,30.3684,2835
Ataturk,Istanbul,IST,LTBA,Turkey,40.976922,28.814606,163
Ivalo,Ivalo,IVL,EFIV,Finland,68.607269,27.405328,481
Yuzhny,Ivanovo,IWA,UUBI,Russia,56.939444,40.940833,410
Ceuta Heliport,Ceuta,JCU,GECT,Spain,35.8969,-5.29908,0
Jersey,Jersey,JER,EGJJ,Jersey,49.207947,-2.195508,277
Ikaria,Ikaria,JIK,LGIK,Greece,37.682717,26.347061,79
Jonkoping,Joenkoeping,JKG,ESGJ,Sweden,57.757594,14.068731,741
Chios,Chios,JKH,LGHI,Greece,38.343175,26.140572,15
Kalymnos Island,Kalymnos,JKL,LGKY,Greece,36.963333,26.940556,771
Landskrona,Landskrona,JLD,ESML,Sweden,55.944444,12.869444,194
Mikonos,Mykonos,JMK,LGMK,Greece,37.435128,25.348103,405
Naxos,Cyclades Islands,JNX,LGNX,Greece,37.080556,25.368056,10
Joensuu,Joensuu,JOE,EFJO,Finland,62.662906,29.60755,398
Yoshkar-Ola Airport,Yoshkar-Ola,JOK,UWKJ,Russia,56.7006,47.9047,348
Sitia,Sitia,JSH,LGST,Greece,35.216108,26.101325,376
Alexandros Papadiamantis,Skiathos,JSI,LGSK,Greece,39.1771,23.503675,54
Syros Airport,Syros Island,JSY,LGSO,Greece,37.422792,24.950936,236
Santorini,Thira,JTR,LGSR,Greece,36.399169,25.479333,127
Astypalaia,Astypalaia,JTY,LGPL,Greece,36.579886,26.375822,165
Verkehrslandeplatz Juist,Juist,JUI,EDWJ,Germany,53.681572,7.055731,6
Jyvaskyla,Jyvaskyla,JYV,EFJY,Finland,62.399453,25.678253,459
Kajaani,Kajaani,KAJ,EFKI,Finland,64.285472,27.692414,483
Kuusamo,Kuusamo,KAO,EFKS,Finland,65.987575,29.239381,866
Kauhava,Kauhava,KAU,EFKA,Finland,63.127078,23.051442,151
Boryspil Intl,Kiev,KBP,UKBB,Ukraine,50.345,30.894722,427
Kurumoch,Samara,KBY,UWWW,Russia,53.504858,50.164336,477
Kahramanmaras Airport,Kahramanmaras,KCM,LTCN,Turkey,37.539,36.9534,1723
Kardla,Kardla,KDL,EEKA,Estonia,58.990756,22.830733,18
Kiel Holtenau,Kiel,KEL,EDHK,Germany,54.3795,10.145167,101
Kemi Tornio,Kemi,KEM,EFKE,Finland,65.781889,24.5991,61
Halli,Halli,KEV,EFHA,Finland,61.85605,24.7866,479
Kempten HBF,Kempten,KEX,KEMP,Germany,47.724,10.311,1200
Uzunyazi,Kastamonu,KFS,LTAL,Turkey,41.316944,33.796111,3520
Kaufbeuren BF,Kaufbeuren,KFX,KAUF,Germany,47.885,10.6294,1200
Khrabrovo,Kaliningrad,KGD,UMKK,Russia,54.89005,20.592633,42
Kirovograd,Kirovograd,KGO,UKKG,Ukraine,48.54,32.29,510
Kos,Kos,KGS,LGKO,Greece,36.793335,27.091667,412
Kerch Intl,Kerch,KHC,UKFK,Ukraine,45.372869,36.402761,152
Chernobayevka Airport,Kherson,KHE,UKOH,Ukraine,46.6758,32.5064,148
Kristianstad,Kristianstad,KID,ESMK,Sweden,55.921686,14.085536,76
KIEV INTERNATIONAL AIRPORT,KIEV,KIP,KIEV,Ukraine,50.1403,30.1808,250
Kerry,Kerry,KIR,EIKY,Ireland,52.180878,-9.523783,112
Kithira,Kithira,KIT,LGKC,Greece,36.274258,23.016978,1045
Chisinau Intl,Chisinau,KIV,LUKK,Moldova,46.927744,28.930978,399
Hoybuktmoen,Kirkenes,KKN,ENKR,Norway,69.725781,29.891295,283
Migalovo,Tver,KLD,UUEM,Russia,56.824736,35.757678,469
Grabtsevo,Kaluga,KLF,UUBS,Russia,54.55,36.367,600
Kalmar,Kalkmar,KLR,ESMQ,Sweden,56.685531,16.287578,17
Woerthersee International Airport,Klagenfurt,KLU,LOWK,Austria,46.642514,14.337739,452
Karl Sovy Vary,Karl Sovy Vary,KLV,LKKV,Czech Republic,50.202978,12.914983,1989
Kalamata,Kalamata,KLX,LGKL,Greece,37.068319,22.025525,26
Sokerkino,Kostroma,KMW,UUBD,Russia,57.7961,41.0204,446
Marham,Marham,KNF,EGYM,United Kingdom,52.648353,0.550692,75
Knokke-Heist Westkapelle Heliport,Knokke,KNO,EBKW,Belgium,51.3222,3.29306,0
Kirkwall,Kirkwall,KOI,EGPA,United Kingdom,58.957778,-2.905,50
Kruunupyy,Kruunupyy,KOK,EFKK,Finland,63.721172,23.143131,84
Koln HBF,Koln,KOX,KOLN,Germany,50.9425,6.958056,1000
Kramfors Solleftea,Kramfors,KRF,ESNK,Sweden,63.048597,17.768856,34
Redhill Aerodrome,Redhill,KRH,EGKR,United Kingdom,51.213612,-0.13861,221
Balice,Krakow,KRK,EPKK,Poland,50.077731,19.784836,791
Kiruna,Kiruna,KRN,ESNQ,Sweden,67.821986,20.336764,1508
Karup,Karup,KRP,EKKA,Denmark,56.297458,9.124628,170
Pashkovskiy,Krasnodar,KRR,URKK,Russia,45.034689,39.170539,118
Kjevik,Kristiansand,KRS,ENCN,Norway,58.204214,8.085369,57
Kosice,Kosice,KSC,LZKZ,Slovakia,48.663055,21.241112,755
Karl Sstad Airport,Karl Sstad,KSD,ESOK,Sweden,59.4447,13.3374,352
Kassel Calden,Kassel,KSF,EDVK,Germany,51.408394,9.377631,908
Kasos,Kasos,KSJ,LGKS,Greece,35.421358,26.910047,35
Karl Sskoga,Karl Sskoga,KSK,ESKK,Sweden,59.345867,14.495922,400
Aristotelis,Kastoria,KSO,LGKA,Greece,40.446294,21.282186,2167
Kvernberget,Kristiansund,KSU,ENKB,Norway,63.111781,7.824522,204
Kars Airport,Kars,KSY,LTCF,Turkey,40.562222,43.115002,5889
Kotlas Airport,Kotlas,KSZ,ULKK,Russia,61.2358,46.6975,184
Kittila,Kittila,KTT,EFKT,Finland,67.701022,24.84685,644
Pyrzowice,Katowice,KTW,EPKT,Poland,50.474253,19.080019,995
Kaunas Intl,Kaunas,KUN,EYKA,Lithuania,54.963919,24.084778,256
Kuopio,Kuopio,KUO,EFKU,Finland,63.00715,27.797756,323
Megas Alexandros Intl,Kavala,KVA,LGKV,Greece,40.913306,24.619223,18
Skovde,Skovde,KVB,ESGR,Sweden,58.4564,13.972672,324
Kirovsk-Apatity Airport,Apatity,KVK,ULMK,Russia,67.4633,33.5883,515
Pobedilovo Airport,Kirov,KVX,USKK,Russia,58.5033,49.3483,479
Lozuvatka International Airport,Krivoy Rog,KWG,UKDR,Ukraine,48.0433,33.21,408
Konya,Konya,KYA,LTAN,Turkey,37.979,32.561861,3381
Filippos,Kozani,KZI,LGKZ,Greece,40.28611,21.840834,2059
Kazan,Kazan,KZN,UWKD,Russia,55.606186,49.278728,411
Zafer,Kutahya,KZR,LTBZ,Turkey,39.111389,30.13,3327
Kastelorizo,Kastelorizo,KZS,LGKJ,Greece,36.127777,29.566656,474
Lannion,Lannion,LAI,LFRO,France,48.754378,-3.471656,290
Leeds Bradford,Leeds,LBA,EGNM,United Kingdom,53.865897,-1.660569,681
Lubeck Blankensee,Luebeck,LBC,EDHL,Germany,53.805367,10.719222,53
Le Bourget,Paris,LBG,LFPB,France,48.969444,2.441389,218
Le Sequestre,Albi,LBI,LFCI,France,43.913887,2.113056,564
Lecce,Lecce,LCC,LIBN,Italy,40.239228,18.133325,156
A Coruna,La Coruna,LCG,LECO,Spain,43.302061,-8.377256,326
?ód? W?adys?aw Reymont Airport,Lodz,LCJ,EPLL,Poland,51.721881,19.398133,604
City,London,LCY,EGLC,United Kingdom,51.505278,0.055278,19
Lourdes,Tarbes,LDE,LFBT,France,43.178675,-0.006439,1260
Leshukonskoye Airport,Arkhangelsk,LDG,ULAL,Russia,64.895833,45.722778,220
Lidkoping,Lidkoping,LDK,ESGL,Sweden,58.465522,13.174414,200
City of Derry,Londonderry,LDY,EGAE,United Kingdom,55.042778,-7.161111,22
Pulkovo,St. Petersburg,LED,ULLI,Russia,59.800292,30.262503,78
Octeville,Le Havre,LEH,LFOH,France,49.533889,0.088056,312
Almeria,Almeria,LEI,LEAM,Spain,36.843936,-2.370097,70
Leipzig Halle,Leipzig,LEJ,EDDP,Germany,51.432447,12.241633,465
Leon Airport,Leon,LEN,LELN,Spain,42.589,-5.655556,3006
Land's End / St. Just Airport,Land's End,LEQ,EGHC,United Kingdom,50.1028,-5.67056,401
Leuterschach BF,Leuterschach,LES,LEUT,Germany,47.75,10.601,1200
Seo De Urgel,Seo De Urgel,LEU,LESU,Spain,42.338611,1.409167,2625
Liege,Liege,LGG,EBLG,Belgium,50.637417,5.443222,659
Langeoog Airport,Langeoog,LGO,EDWL,Germany,53.7425,7.49778,7
Gatwick,London,LGW,EGKK,United Kingdom,51.148056,-0.190278,202
Lahr Airport,Lahr,LHA,EDTL,Germany,48.3693,7.82772,511
Heathrow,London,LHR,EGLL,United Kingdom,51.4775,-0.461389,83
Valkenburg,Valkenburg,LID,EHVB,Netherlands,52.166139,4.417944,0
Bellegarde,Limoges,LIG,LFBL,France,45.862778,1.179444,1300
Lesquin,Lille,LIL,LFQQ,France,50.561942,3.089444,157
Linate,Milan,LIN,LIML,Italy,45.445103,9.276739,353
Lisboa,Lisbon,LIS,LPPT,Portugal,38.781311,-9.135919,374
Ljubljana,Ljubljana,LJU,LJLJ,Slovenia,46.223686,14.457611,1273
Banak,Lakselv,LKL,ENNA,Norway,70.068814,24.973489,25
Leknes Airport,Leknes,LKN,ENLK,Norway,68.1525,13.6094,78
Sazena,Sazena,LKS,LKSZ,Czech Republic,50.1929,14.1532,233
Kallax,Lulea,LLA,ESPA,Sweden,65.543758,22.121989,65
Arnage,Le Mans,LME,LFRM,France,47.948611,0.201667,194
Lossiemouth,Lossiemouth,LMO,EGQS,United Kingdom,57.705214,-3.339169,42
Lampedusa,Lampedusa,LMP,LICD,Italy,35.497914,12.618083,70
Lindau HBF,Lindau,LND,LIND,Germany,47.5489,9.688,1000
Linz,Linz,LNZ,LOWL,Austria,48.233219,14.187511,978
Saab,Linkoeping,LPI,ESSL,Sweden,58.40615,15.680508,172
Lipetsk Airport,Lipetsk,LPK,UUOL,Russia,52.7028,39.5378,584
Liverpool,Liverpool,LPL,EGGP,United Kingdom,53.333611,-2.849722,80
Lappeenranta,Lappeenranta,LPP,EFLP,Finland,61.044553,28.144397,349
Liepaja Intl,Liepaja,LPX,EVLA,Latvia,56.5175,21.096944,16
Loudes,Le Puy,LPY,LFHP,France,45.080689,3.762889,2731
Larisa,Larissa,LRA,LGLR,Greece,39.650253,22.4655,241
La Rochelle-Ile de Re,La Rochelle,LRH,LFBH,France,46.1792,-1.19528,74
Leros,Leros,LRS,LGLE,Greece,37.184903,26.800289,39
Lann Bihoue,Lorient,LRT,LFRH,France,47.760555,-3.44,160
Sumburgh,Sumburgh,LSI,EGPB,United Kingdom,59.878889,-1.295556,20
Luton,London,LTN,EGGW,United Kingdom,51.874722,-0.368333,526
Le Touquet Paris Plage,Le Tourquet,LTQ,LFAT,France,50.517385,1.620587,36
La Môle Airport,La Môle,LTT,LFTZ,France,43.2054,6.482,59
Lugano,Lugano,LUG,LSZA,Switzerland,46.004275,8.910578,915
Luxembourg,Luxemburg,LUX,ELLX,Luxembourg,49.626575,6.211517,1234
Lublin,Lublin,LUZ,EPLB,Poland,51.239333,22.714083,203
Entrammes,Laval,LVA,LFOV,France,48.031361,-0.742986,330
Lerwick / Tingwall Airport,Lerwick,LWK,EGET,United Kingdom,60.1922,-1.24361,43
Lviv Intl,Lvov,LWO,UKLL,Ukraine,49.8125,23.956111,1071
Leeuwarden,Leeuwarden,LWR,EHLW,Netherlands,53.228611,5.760556,3
Limnos,Limnos,LXS,LGLM,Greece,39.917072,25.236308,14
Lycksele,Lycksele,LYC,ESNL,Sweden,64.548322,18.716219,705
Lyneham,Lyneham,LYE,EGDL,United Kingdom,51.505144,-1.993428,513
Ashford,Lympne,LYM,EGMK,United Kingdom,51.083333,1.016667,351
Bron,Lyon,LYN,LFLY,France,45.727172,4.944275,659
Saint Exupery,Lyon,LYS,LFLL,France,45.726387,5.090833,821
Lydd,Lydd,LYX,EGMD,United Kingdom,50.956111,0.939167,13
Barajas,Madrid,MAD,LEMD,Spain,40.493556,-3.566764,2000
Menorca,Menorca,MAH,LEMH,Spain,39.862597,4.218647,298
Manchester,Manchester,MAN,EGCC,United Kingdom,53.353744,-2.27495,257
Maribor,Maribor,MBX,LJMB,Slovenia,46.479861,15.686131,876
Domerat,Montlucon,MCU,LFLT,France,46.352525,2.570486,771
Uytash,Makhachkala,MCX,URML,Russia,42.816822,47.652294,12
Mehamn,Mehamn,MEH,ENMR,Norway,71.029722,27.826667,41
Brenoux,Mende,MEN,LFNB,France,44.502108,3.532819,3362
Meribel Airport,Ajaccio,MFX,LFKX,France,45.4069,6.58056,5636
Monchengladbach,Moenchengladbach,MGL,EDLN,Germany,51.230356,6.504494,125
Mannheim City,Mannheim,MHG,EDFM,Germany,49.472706,8.514264,309
Minsk 1,Minsk,MHP,UMMM,Belarus,53.864472,27.539683,748
Mariehamn,Mariehamn,MHQ,EFMA,Finland,60.122203,19.898156,17
Mildenhall,Mildenhall,MHZ,EGUN,United Kingdom,52.361933,0.486406,33
Mikkeli,Mikkeli,MIK,EFMI,Finland,61.6866,27.201794,329
Kjaerstad,Mosjoen,MJF,ENMS,Norway,65.783997,13.214914,237
Mitilini,Mytilini,MJT,LGMT,Greece,39.056667,26.598333,60
Murcia San Javier,Murcia,MJV,LELC,Spain,37.774972,-0.812389,11
Luqa,Malta,MLA,LMML,Malta,35.857497,14.4775,300
Bale Mulhouse,Mulhouse,MLH,LFSB,France,47.589583,7.529914,885
Melilla,Melilla,MLN,GEML,Spain,35.279817,-2.956256,156
Milos,Milos,MLO,LGML,Greece,36.696111,24.4775,12
Erhac,Malatya,MLX,LTAT,Turkey,38.435347,38.091006,2828
Durham Tees Valley Airport,Teesside,MME,EGNV,United Kingdom,54.509189,-1.429406,120
Murmansk,Murmansk,MMK,ULMM,Russia,68.781672,32.750822,266
Sturup,Malmoe,MMX,ESMS,Sweden,55.530193,13.371639,236
Aro,Molde,MOL,ENML,Norway,62.744722,7.2625,10
Marktoberdorf Schule,Marktoberdorf,MOS,MARO,Germany,47.777,10.623,1200
Mediterranee,Montpellier,MPL,LFMT,France,43.576194,3.963014,17
Mariupol International Airport,Mariupol International,MPW,UKCM,Ukraine,47.0761,37.4496,251
Mardin Airport,Mardin,MQM,LTCR,Turkey,37.2233,40.6317,1729
Røssvoll Airport,Mo i Rana,MQN,ENRA,Norway,66.3639,14.3014,229
Provence,Marseille,MRS,LFML,France,43.435555,5.213611,74
Mineralnyye Vody,Mineralnye Vody,MRV,URMM,Russia,44.225072,43.081889,1054
Manston,Manston,MSE,EGMH,United Kingdom,51.342222,1.346111,178
Minsk 2,Minsk 2,MSQ,UMMS,Belarus,53.882469,28.030731,670
Mus Airport,Mus,MSR,LTCK,Turkey,38.747769,41.661236,4157
Maastricht,Maastricht,MST,EHBK,Netherlands,50.911658,5.770144,375
Franz Josef Strauss,Munich,MUC,EDDM,Germany,48.353783,11.786086,1487
Munich HBF,Munich,MUQ,MUNI,Germany,48.1408,11.555,1200
Mogilev Airport,Mogilev,MVQ,UMOO,Belarus,53.9549,30.0951,637
Megeve Airport,Verdun,MVV,LFHM,France,45.8208,6.65222,4823
Ploujean,Morlaix,MXN,LFRU,France,48.603222,-3.815783,272
Malpensa,Milano,MXP,LIMC,Italy,45.630606,8.728111,767
Mora,Mora,MXX,ESKM,Sweden,60.957908,14.511383,634
Merzifon,Merzifon,MZH,LTAP,Turkey,40.829375,35.521992,1758
Frescaty,Metz,MZM,LFSF,France,49.071667,6.131667,629
Nalchik Airport,Nalchik,NAL,URMN,Russia,43.5129,43.6366,1461
Capodichino,Naples,NAP,LIRN,Italy,40.886033,14.290781,294
Kapadokya,Nevsehir,NAV,LTAZ,Turkey,38.771867,34.53455,3100
Begishevo,Nizhnekamsk,NBC,UWKE,Russia,55.34,52.06,50
Cote D\\'Azur,Nice,NCE,LFMN,France,43.658411,7.215872,12
Newcastle,Newcastle,NCL,EGNT,United Kingdom,55.0375,-1.691667,266
Meythet,Annecy,NCY,LFLP,France,45.929233,6.098764,1521
Sanday Airport,Sanday,NDY,EGES,United Kingdom,59.2503,-2.57667,68
Cuxhaven Airport,Cuxhaven,NDZ,KNDZ,Germany,53.768612,8.644722,75
Northolt,Northolt,NHT,EGWU,United Kingdom,51.553,-0.418167,124
Souche,Niort,NIT,LFBN,France,46.311303,-0.401503,203
Mykolaiv International Airport,Nikolayev,NLV,UKON,Ukraine,47.0579,31.9198,184
Naryan-Mar,Naryan-Mar,NNM,ULAM,Russia,67.380537,53.051016,20
Connemara Regional Airport,Indreabhan,NNR,EICA,Ireland,53.2303,-9.46778,0
Ireland West Knock,Connaught,NOC,EIKN,Ireland,53.910297,-8.818492,665
Sonderlandeplatz Norden-Norddeich,Norden,NOE,EDWS,Germany,53.632221,7.191389,3
Nottingham Airport,Nottingham,NQT,EGBN,United Kingdom,52.92,-1.079167,138
St Mawgan,Newquai,NQY,EGDG,United Kingdom,50.440558,-4.995408,390
Norderney,Norderney,NRD,EDWY,Germany,53.706822,7.230247,6
Kungsangen,Norrkoeping,NRK,ESSP,Sweden,58.586253,16.250622,32
North Ronaldsay Airport,North Ronaldsay,NRL,EGEN,United Kingdom,59.3675,-2.43444,40
Niederrhein,Weeze,NRN,EDLV,Germany,51.602222,6.141944,106
Sigonella,Sigonella,NSY,LICZ,Italy,37.401664,14.922358,79
Notodden,Notodden,NTB,ENNO,Norway,59.565683,9.212222,63
Nantes Atlantique,Nantes,NTE,LFRS,France,47.153189,-1.610725,90
Nurnberg,Nuernberg,NUE,EDDN,Germany,49.4987,11.066897,1046
Nurnberg HBF,Nurnberg,NUR,NURN,Germany,49.446,11.081944,1200
Framnes,Narvik,NVK,ENNK,Norway,68.435833,17.388056,97
Fourchambault,Nevers,NVS,LFQG,France,47.002625,3.113333,602
Norwich,Norwich,NWI,EGSH,United Kingdom,52.675833,1.282778,117
Skavsta,Stockholm,NYO,ESKN,Sweden,58.788636,16.912189,140
Marktoberdorf BF,Marktoberdorf,OAL,MARK,Germany,47.78,10.627,1200
Oberpfaffenhofen,Oberpfaffenhofen,OBF,EDMO,Germany,48.081364,11.283067,1947
Oban Airport,North Connel,OBN,EGEO,United Kingdom,56.464,-5.4,23
Ardeche Meridionale,Aubenas-vals-lanas,OBS,LFHO,France,44.544236,4.372192,923
Cordoba,Cordoba,ODB,LEBA,Spain,37.842006,-4.848878,297
Odense,Odense,ODE,EKOD,Denmark,55.476664,10.330933,56
Odiham,Odiham,ODH,EGVO,United Kingdom,51.234139,-0.942825,405
Odesa Intl,Odessa,ODS,UKOO,Ukraine,46.426767,30.676464,172
Ornskoldsvik,Ornskoldsvik,OER,ESNO,Sweden,63.408339,18.990039,354
Beslan Airport,Beslan,OGZ,URMO,Russia,43.2051,44.6066,1673
Ohrid,Ohrid,OHD,LWOH,Macedonia,41.179956,20.742325,2313
Orland,Orland,OLA,ENOL,Norway,63.698908,9.604003,28
Olbia Costa Smeralda,Olbia,OLB,LIEO,Italy,40.898661,9.517628,37
Mostar,Mostar,OMO,LQMO,Bosnia and Herzegovina,43.2829,17.845878,156
Oradea,Oradea,OMR,LROD,Romania,47.025278,21.9025,465
Zonguldak,Zonguldak,ONQ,LTAS,Turkey,41.506111,32.088611,44
Porto,Porto,OPO,LPPR,Portugal,41.248055,-8.681389,228
Orebro,Orebro,ORB,ESOE,Sweden,59.223733,15.037956,188
Bricy,Orleans,ORE,LFOJ,France,47.987778,1.760556,412
Cork,Cork,ORK,EICK,Ireland,51.841269,-8.491111,502
Orly,Paris,ORY,LFPO,France,48.725278,2.359444,291
Östersund Airport,Östersund,OSD,ESNZ,Sweden,63.1944,14.5003,1233
Osijek,Osijek,OSI,LDOS,Croatia,45.462667,18.810156,290
Oskarshamn,Oskarshamn,OSK,ESMO,Sweden,57.350453,16.497972,96
Gardermoen,Oslo,OSL,ENGM,Norway,60.193917,11.100361,681
Redzikowo,Slupsk,OSP,EPSK,Poland,54.478889,17.1075,217
Mosnov,Ostrava,OSR,LKMT,Czech Republic,49.696292,18.111053,844
Oostende,Ostend,OST,EBOS,Belgium,51.198889,2.862222,13
Namsos Høknesøra Airport,Namsos,OSY,ENNM,Norway,64.4722,11.5786,7
Koszalin - Zegrze Pomorskie Airport,Koszalin,OSZ,EPKO,Poland,54.041,16.266,111
Henri Coanda,Bucharest,OTP,LROP,Romania,44.572161,26.102178,314
Oulu,Oulu,OUL,EFOU,Finland,64.930061,25.354564,47
Asturias,Aviles,OVD,LEAS,Spain,43.563567,-6.034622,416
Kidlington,Oxford,OXF,EGTK,United Kingdom,51.836944,-1.32,270
Zaporizhzhia International Airport,Zaporozhye,OZH,UKDE,Ukraine,47.867,35.3157,373
Moron Ab,Sevilla,OZP,LEMO,Spain,37.174917,-5.615944,285
Paderborn Lippstadt,Paderborn,PAD,EDLP,Germany,51.614089,8.616317,699
Paros,Paros,PAS,LGPA,Greece,37.010278,25.127778,121
Plovdiv,Plovdiv,PDV,LBPD,Bulgaria,42.067806,24.850833,597
Pardubice,Pardubice,PED,LKPD,Czech Republic,50.013419,15.738647,741
Peenemunde Airfield,Peenemunde,PEF,EDCP,Germany,54.157778,13.772778,7
Perugia,Perugia,PEG,LIRZ,Italy,43.095906,12.513222,693
Petrozavodsk Airport,Petrozavodsk,PES,ULPB,Russia,61.8852,34.1547,151
Pécs-Pogány Airport,Pécs-Pogány,PEV,LHPP,Hungary,45.990928,18.240983,1000
Penza Airport,Penza,PEZ,UWPP,Russia,53.1106,45.0211,614
Rivesaltes,Perpignan,PGF,LFMP,France,42.740442,2.870667,144
Bassillac,Perigueux,PGX,LFBX,France,45.198055,0.815556,328
Prestwick,Prestwick,PIK,EGPK,United Kingdom,55.509444,-4.586667,65
Biard,Poitiers,PIS,LFBI,France,46.587745,0.306666,423
Pajala Airport,Pajala,PJA,ESUP,Sweden,67.2456,23.0689,542
Alexion,Porto Heli,PKH,LGHL,Greece,37.298792,23.148986,2224
Kresty,Pskov,PKV,ULOO,Russia,57.783917,28.395614,154
Plymouth,Plymouth,PLH,EGHD,United Kingdom,50.422778,-4.105833,476
Palanga Intl,Palanga,PLQ,EYPA,Lithuania,55.973228,21.093856,33
Poltava,Poltava,PLV,UKHP,Ukraine,49.34261,34.23551,333
Parma,Parma,PMF,LIMP,Italy,44.824483,10.296367,161
Son Sant Joan,Palma de Mallorca,PMI,LEPA,Spain,39.55361,2.727778,24
Palermo,Palermo,PMO,LICJ,Italy,38.175958,13.091019,65
Pamplona,Pamplona,PNA,LEPP,Spain,42.770039,-1.646331,1504
Pantelleria,Pantelleria,PNL,LICG,Italy,36.816519,11.968864,635
Pajuostis,Panevezys,PNV,EYPP,Lithuania,55.729444,24.460833,197
Pori,Pori,POR,EFPO,Finland,61.461686,21.799983,44
Portoroz,Portoroz,POW,LJPZ,Slovenia,45.473353,13.614978,7
Cormeilles En Vexin,Pontoise,POX,LFPT,France,49.096647,2.040833,325
Lawica,Poznan,POZ,EPPO,Poland,52.421031,16.826325,308
Papa Westray Airport,Papa Westray,PPW,EGEP,United Kingdom,59.3517,-2.90028,91
Ruzyne,Prague,PRG,LKPR,Czech Republic,50.100833,14.26,1247
Pristina,Pristina,PRN,LYPR,Serbia,42.572778,21.035833,1789
Prerov,Prerov,PRV,LKPO,Czech Republic,49.425833,17.404722,676
Pisa,Pisa,PSA,LIRP,Italy,43.683917,10.39275,6
St. Peter-Ording Airport,Sankt Peter-Ording,PSH,EDXO,Germany,54.3089,8.68694,7
Perth Scone Airport,Perth,PSL,EGPT,United Kingdom,56.439722,-3.371389,392
Pescara,Pescara,PSR,LIBP,Italy,42.431656,14.181067,48
Pau Pyrenees,Pau,PUF,LFBP,France,43.38,-0.418611,616
Pula,Pula,PUY,LDPL,Croatia,44.893533,13.922192,274
Aktio,Preveza,PVK,LGPZ,Greece,38.925467,20.765311,11
Porto Santo,Porto Santo,PXO,LPPS,Portugal,33.073386,-16.349975,341
Andravida,Andravida,PYR,LGAD,Greece,37.920708,21.292583,55
Penzance Heliport,Penzance,PZE,EGHK,United Kingdom,50.1281,-5.51845,14
Piestany,Piestany,PZY,LZPP,Slovakia,48.625247,17.828444,545
Coningsby,Coningsby,QCY,EGXC,United Kingdom,53.093014,-0.166014,25
Duxford Aerodrome,Duxford,QFO,EGSU,United Kingdom,52.09083,0.13194,125
Gy?r-Pér International Airport,Gy?r,QGY,LHPR,Hungary,47.627097,17.808347,424
Wevelgem,Kortrijk-vevelgem,QKT,EBKT,Belgium,50.817222,3.204722,64
Lasham,Lasham,QLA,EGHL,United Kingdom,51.187167,-1.0335,618
Latina,Latina,QLT,LIRL,Italy,41.542436,12.909019,93
Neuchatel Airport,Neuchatel,QNC,LSGN,Switzerland,46.9575,6.86472,1427
Annemasse,Annemasse,QNJ,LFLI,France,46.191972,6.268386,1620
Charnay,Macon,QNX,LFLM,France,46.295103,4.795767,728
Padova,Padova,QPA,LIPU,Italy,45.395767,11.847903,44
Piacenza,Piacenza,QPZ,LIMS,Italy,44.913055,9.723333,456
Sabadell Airport,Sabadell,QSA,LELL,Spain,41.5209,2.10508,0
Salerno Pontecagnano Airport,Salerno,QSR,LIRI,Italy,40.6204,14.911294,123
Utti,Utti,QVY,EFUT,Finland,60.896394,26.938353,339
Aix Les Milles,Aix-les-milles,QXB,LFMA,France,43.505554,5.367778,367
RADOM,RADOM,QXR,EPRA,Poland,51.231978,21.124183,479
Gdynia,Gdynia,QYD,EPOK,Poland,54.5797,18.5172,144
Barberey,Troyes,QYR,LFQB,France,48.322136,4.016703,388
St Agnant,Rochefort,RCO,LFDN,France,45.887779,-0.983056,60
Rochester Airport,Rochester,RCS,EGTO,United Kingdom,51.351944,0.502778,426
Marcillac,Rodez,RDZ,LFCR,France,44.407869,2.482672,1910
Reggio Calabria,Reggio Calabria,REG,LICR,Italy,38.071206,15.651556,96
Røst Airport,Røst,RET,ENRS,Norway,67.5278,12.1033,7
Reus,Reus,REU,LERS,Spain,41.147392,1.167172,234
Regensburg HBF,Regensburg,RGB,REGE,Germany,49.022,12.1111,1200
Burgos Airport,Burgos,RGS,LEBG,Spain,42.357628,-3.620764,2945
Champagne,Reims,RHE,LFSR,France,49.31,4.05,312
Rhodes Diagoras,Rhodos,RHO,LGRP,Greece,36.405419,28.086192,17
Riga Intl,Riga,RIX,EVRA,Latvia,56.923611,23.971111,34
Rijeka,Rijeka,RJK,LDRI,Croatia,45.216889,14.570267,278
Logroño-Agoncillo Airport,Logroño-Agoncillo,RJL,LELO,Spain,42.4542,-2.32083,1161
Roskilde,Copenhagen,RKE,EKRK,Denmark,55.585567,12.131428,146
Laage,Laage,RLG,ETNL,Germany,53.918167,12.278333,138
Rimini,Rimini,RMI,LIPR,Italy,44.020292,12.611747,41
Ramstein Ab,Ramstein,RMS,ETAR,Germany,49.436911,7.600283,776
Ronneby,Ronneby,RNB,ESDF,Sweden,56.266667,15.265,191
Renaison,Roanne,RNE,LFLO,France,46.058334,4.001389,1106
Bornholm Ronne,Ronne,RNN,EKRN,Denmark,55.063267,14.759558,52
St Jacques,Rennes,RNS,LFRN,France,48.069508,-1.734794,124
