Airport,City,IATA,ICAO,Country,Lat,Long,Alt
Batsfjord,Batsfjord,BJF,ENBS,Norway,70.600278,29.6925,490
Bodrum - Milas,Bodrum,BJV,LTFE,Turkey,37.249,27.667,19
Talavera La Real,Badajoz,BJZ,LEBZ,Spain,38.89125,-6.821333,609
Bykovo,Moscow,BKA,UUBB,Russia,55.617222,38.059999,427
Borlange,Borlange,BLE,ESSD,Sweden,60.422017,15.515211,503
Blackpool,Blackpool,BLK,EGNH,United Kingdom,53.771667,-3.028611,34
Billund,Billund,BLL,EKBI,Denmark,55.740322,9.151778,247
Bologna,Bologna,BLQ,LIPE,Italy,44.535444,11.288667,123
Bromma,Stockholm,BMA,ESSB,Sweden,59.354372,17.94165,47
Borkum,Borkum,BMK,EDWR,Germany,53.5955,6.709167,3
Bronnoy,Bronnoysund,BNN,ENBN,Norway,65.461111,12.2175,25
Banja Luka International Airport,Banja Luka,BNX,LQBK,Bosnia and Herzegovina,44.941444,17.297501,400
Merignac,Bordeaux,BOD,LFBD,France,44.828335,-0.715556,162
Bournemouth,Bournemouth,BOH,EGHH,United Kingdom,50.78,-1.8425,38
Burgas,Bourgas,BOJ,LBBG,Bulgaria,42.569583,27.515236,135
Bodo,Bodo,BOO,ENBO,Norway,67.269167,14.365278,42
Fontaine Airport,Belfort,BOR,LFSQ,France,47.6556015,7.0108299,3663
Bourges,Bourges,BOU,LFLD,France,47.058056,2.370278,529
Bochum HBF,Bochum,BOX,BOCH,Germany,51.478506,7.2222,1000
Biggin Hill,Biggin Hill,BQH,EGKB,United Kingdom,51.330833,0.0325,598
Brest,Brest,BQT,UMBB,Belarus,52.06,23.53,468
Neuenland,Bremen,BRE,EDDW,Germany,53.0475,8.786667,14
Bari,Bari,BRI,LIBD,Italy,41.138856,16.760594,177
Bern Belp,Bern,BRN,LSZB,Switzerland,46.9141,7.497153,1674
Turany,Brno,BRQ,LKTB,Czech Republic,49.151269,16.694433,778
Barra Airport,Barra,BRR,EGPR,United Kingdom,57.0228,-7.44306,5
Bristol,Bristol,BRS,EGGD,United Kingdom,51.382669,-2.719089,622
Brussels Natl,Brussels,BRU,EBBR,Belgium,50.901389,4.484444,184
Bremerhaven,Bremerhaven,BRV,EDWB,Germany,53.507081,8.572878,11
M R Stefanik,Bratislava,BTS,LZIB,Slovakia,48.170167,17.212667,436
Bursa Airport,Bursa,BTZ,LTBE,Turkey,40.2332993,29.0091991,772
Ferihegy,Budapest,BUD,LHBP,Hungary,47.436933,19.255592,495
Buchloe BF,Buchloe,BUH,BUCH,Germany,48.0411,10.715,1200
Tille,Beauvais,BVA,LFOB,France,49.454444,2.112778,359
La Roche,Brive,BVE,LFSL,France,45.150833,1.469167,379
Berlevag,Berlevag,BVG,ENBV,Norway,70.866667,29,43
Braunschweig Wolfsburg,Braunschweig,BWE,EDVE,Germany,52.319167,10.556111,295
Walney Island,Barrow Island,BWF,EGNL,United Kingdom,54.131167,-3.263667,173
Brac,Brac,BWK,LDSB,Croatia,43.285719,16.679719,1776
Balakovo Airport,Balakovo,BWO,UWSB,Russia,51.8583,47.7456,95
Imsik,Bodrum,BXN,LTBV,Turkey,37.140144,27.669717,202
Buochs Airport,Buochs,BXO,LSZC,Switzerland,46.9725,8.398611,1464
Bantry Aerodrome,Bantry,BYT,EIBN,Ireland,51.668598,-9.48417,7
Bayreuth,Bayreuth,BYU,EDQD,Germany,49.984428,11.638569,1601
Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,BZG,EPBY,Poland,53.0968,17.9777,235
Balikesir,Balikesir,BZI,LTBF,Turkey,39.619258,27.925958,340
Bryansk,Bryansk,BZK,UUBP,Russia,53.214194,34.176447,663
Bolzano,Bolzano,BZO,LIPB,Italy,46.460194,11.326383,789
Vias,Beziers,BZR,LFMU,France,43.323522,3.353903,56
Brize Norton,Brize Norton,BZZ,EGVN,United Kingdom,51.749964,-1.583617,288
Elmas,Cagliari,CAG,LIEE,Italy,39.251469,9.054283,13
